Own by Team,From Team,Year,Round
1,1,44,1
1,1,44,2
1,1,44,3
1,1,44,4
1,1,44,5
1,1,45,1
1,1,45,2
1,1,45,3
1,1,45,4
1,1,45,5
1,1,46,1
1,1,46,2
1,1,46,3
1,1,46,4
1,1,46,5
1,1,43,1
1,1,42,1
1,1,42,2
1,1,42,3
1,1,42,4
1,1,43,2
1,1,42,5
1,1,43,3
1,1,43,4
1,1,43,5
2,2,44,1
2,2,43,1
2,2,43,2
2,2,44,2
2,2,44,3
2,2,45,1
2,2,45,2
2,2,45,3
2,2,45,4
2,2,45,5
2,2,46,1
2,2,46,2
2,2,46,3
2,2,46,4
2,2,46,5
2,2,42,1
2,2,42,2
2,2,42,3
2,2,42,4
2,2,42,5
2,2,43,3
2,2,43,4
2,2,43,5
2,2,44,4
2,2,44,5
5,5,43,1
5,5,43,2
5,5,43,3
5,5,43,4
5,5,43,5
5,5,44,1
5,5,44,2
5,5,44,3
5,5,44,4
5,5,44,5
5,5,45,1
5,5,45,2
5,5,45,3
5,5,45,4
5,5,45,5
5,5,46,1
5,5,46,2
5,5,46,3
5,5,46,4
5,5,46,5
5,5,42,1
5,5,42,2
5,5,42,3
5,5,42,4
5,5,42,5
6,6,43,1
6,6,42,1
6,6,43,2
6,6,43,3
6,6,43,4
6,6,44,1
6,6,44,2
6,6,44,3
6,6,44,4
6,6,44,5
6,6,45,1
6,6,45,2
6,6,45,3
6,6,45,4
6,6,45,5
6,6,46,1
6,6,46,2
6,6,46,3
6,6,46,4
6,6,46,5
6,6,42,2
6,6,42,3
6,6,42,4
6,6,42,5
6,6,43,5
8,8,43,1
8,8,43,2
8,8,43,3
8,8,43,4
8,8,43,5
8,8,44,1
8,8,44,2
8,8,44,3
8,8,44,4
8,8,44,5
8,8,45,1
8,8,45,2
8,8,45,3
8,8,45,4
8,8,45,5
8,8,46,1
8,8,46,2
8,8,46,3
8,8,46,4
8,8,46,5
8,8,42,1
8,8,42,2
8,8,42,3
8,8,42,4
8,8,42,5
9,9,43,1
9,9,42,1
9,9,43,2
9,9,43,3
9,9,43,4
9,9,44,1
9,9,44,2
9,9,44,3
9,9,44,4
9,9,44,5
9,9,45,1
9,9,45,2
9,9,45,3
9,9,45,4
9,9,45,5
9,9,46,1
9,9,46,2
9,9,46,3
9,9,46,4
9,9,46,5
9,9,42,2
9,9,42,3
9,9,42,4
9,9,42,5
9,9,43,5
10,10,43,1
10,10,43,2
10,10,43,3
10,10,43,4
10,10,43,5
10,10,44,1
10,10,44,2
10,10,44,3
10,10,44,4
10,10,44,5
10,10,45,1
10,10,45,2
10,10,45,3
10,10,45,4
10,10,45,5
10,10,46,1
10,10,46,2
10,10,46,3
10,10,46,4
10,10,46,5
10,10,42,1
10,10,42,2
10,10,42,3
10,10,42,4
10,10,42,5
11,11,42,1
11,11,42,2
11,11,43,1
11,11,43,2
11,11,43,3
11,11,44,1
11,11,44,2
11,11,44,3
11,11,44,4
11,11,44,5
11,11,45,1
11,11,45,2
11,11,42,3
11,11,45,3
11,11,45,4
11,11,46,1
11,11,46,2
11,11,46,3
11,11,46,4
11,11,46,5
11,11,42,4
11,11,42,5
11,11,43,4
11,11,43,5
11,11,45,5
